,price,price,price,price
,mean,median,min,max
beds,,,,
1,390000.0,390000.0,390000.0,390000.0
2,90007.33333333333,81900.0,2500.0,450000.0
3,137497.21582733814,120900.0,2500.0,674900.0
4,226305.8596491228,199249.5,18500.0,1899000.0
5,316797.71428571426,274900.0,14500.0,1085000.0
6,413238.8333333333,297450.0,64900.0,1899000.0
7,582237.375,387499.5,30000.0,1750000.0
8,684950.0,684950.0,619900.0,750000.0
9,100000.0,100000.0,100000.0,100000.0
10,398900.0,398900.0,398900.0,398900.0
14,3250000.0,3250000.0,3250000.0,3250000.0
